StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,id,sex,age,grade,Q1,Q4,Q3,Q2,Q1,Q4,Q2,Q3,Q4,Q1,Q2,Q3,Q1,Q4,Q3,Q2,Q1,Q4,Q2,Q3,Q4,Q1,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,ID del participante:,Sexo/género:,edad:,curso/notas:,¿Ha hecho Juan caso a la nueva regla?,¿Ha hecho Anne caso a la nueva regla?,¿Ha hecho Sara caso a la nueva regla?,¿Ha hecho Juan caso a la nueva regla?,¿Ha hecho  Luisa caso a la nueva regla?,¿Ha hecho Olatz caso a la nueva regla?,¿Ha hecho Sofía caso a la nueva regla?,¿Ha hecho Martín caso a la nueva regla?,¿Ha hecho Juan caso a la nueva regla?,¿Ha hecho Pablo caso a la nueva regla?,¿Ha hecho Diego caso a la nueva regla?,¿Ha hecho Sara caso a la nueva regla?,¿Ha hecho Jasone caso a la nueva regla?,¿Ha hecho Karmele caso a la nueva regla?,¿Ha hecho María caso a la nueva regla?,¿Ha hecho Isabel caso a la nueva regla?,¿Ha hecho Santi caso a la nueva regla?,¿Ha hecho Zuriñe caso a la nueva regla?,¿Ha hecho Xabi caso a la nueva regla?,¿Ha hecho Janire caso a la nueva regla?,¿Han hecho los niños caso a la nueva regla?,¿Ha hecho el niño caso a la nueva regla?,¿Ha hecho el niño caso a la nueva regla?,¿Ha hecho el niño caso a la nueva regla?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID32""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID40""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID42""}","{""ImportId"":""QID48""}","{""ImportId"":""QID46""}","{""ImportId"":""QID44""}","{""ImportId"":""QID50""}","{""ImportId"":""QID56""}","{""ImportId"":""QID52""}","{""ImportId"":""QID54""}","{""ImportId"":""QID64""}","{""ImportId"":""QID58""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}"
2025-01-20 10:36:08,2025-01-20 10:36:18,1,,100,9,1,2025-01-20 10:36:18,R_8MxULFUg2G5qYRb,,,,,40.4382,-3.6481,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 16:24:02,2025-01-22 16:26:15,1,,100,133,1,2025-01-22 16:26:16,R_2tKvDewTHFuOrbb,,,,,43.263,-2.9351,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22 09:22:32,2025-01-22 09:22:50,0,79.117.226.213,19,18,0,2025-01-24 11:13:10,R_2F5ILel0XJzXMqz,,,,,37.1918,-3.6095,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-24 10:15:25,2025-01-24 11:12:52,0,46.222.222.19,24,3447,0,2025-01-24 11:13:12,R_8YMoBZW3lC9J9hD,,,,,40.4172,-3.684,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-24 11:13:35,2025-01-24 11:21:51,0,46.222.222.19,100,495,1,2025-01-24 11:21:52,R_873c3axa5Ezyaau,,,,,40.4172,-3.684,anonymous,EN,LV02,F,8,3PRIMARIA,,,,,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2
2025-01-27 10:18:18,2025-01-27 10:26:49,0,46.222.204.211,100,510,1,2025-01-27 10:26:50,R_2cTkRzReqqIAoO1,,,,,40.4172,-3.684,anonymous,EN,CF03,F,7,2PRIMARIA,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2
2025-01-27 11:09:37,2025-01-27 11:18:00,0,46.222.204.211,100,503,1,2025-01-27 11:18:00,R_8tK8P1SOeLDwbm1,,,,,40.4172,-3.684,anonymous,EN,EG04,M,7,2PRIMARIA,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2
2025-01-27 11:22:48,2025-01-27 11:32:02,0,46.222.204.211,100,554,1,2025-01-27 11:32:03,R_8ysDNXRRId8trII,,,,,40.4172,-3.684,anonymous,EN,AP01,M,8,3PRIMARIA,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2
